segment_id,row_index,row_label,section,anchor_mark_visible,color,thickness,code,legend_description,source_kind,pixel_x_start,pixel_x_end_exclusive,pixel_y_center,pixel_width,pixel_height_estimate,year_start,year_end,duration_years,note,base_year,end_year_exclusive,start_abs_day,end_abs_day,start_year,start_day_of_year,start_day_label,end_year,end_day_of_year,end_day_label,duration_days
31,15,METEOSAT 5 GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in ERA-Interim,visible_color_bar,1028,1031,328,3,13,2003.821963,2003.926789,0.104825,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9426,9464,2003,301,2003-D301,2003,339,2003-D339,39
32,15,METEOSAT 5 GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in ERA-Interim,visible_color_bar,1034,1035,328,1,8,2004.031614,2004.066556,0.034942,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9502,9515,2004,12,2004-D012,2004,25,2004-D025,14
33,15,METEOSAT 5 GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in ERA-Interim,visible_color_bar,1040,1104,328,64,13,2004.241265,2006.477537,2.236273,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9579,10395,2004,89,2004-D089,2006,175,2006-D175,817
34,15,METEOSAT 5 GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1104,1122,328,18,13,2006.477537,2007.106489,0.628952,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,10395,10624,2006,175,2006-D175,2007,39,2007-D039,230
35,16,Himawari 8 GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1375,1482,347,107,13,2015.946755,2019.685524,3.738769,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,13851,15216,2015,346,2015-D346,2019,251,2019-D251,1366
36,17,MTSAT-2 GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in ERA-Interim,visible_color_bar,1235,1259,367,24,13,2011.054908,2011.893511,0.838602,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,12066,12372,2011,21,2011-D021,2011,327,2011-D327,307
37,17,MTSAT-2 GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in ERA-Interim,visible_color_bar,1263,1287,367,24,13,2012.033278,2012.87188,0.838602,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,12423,12729,2012,13,2012-D013,2012,319,2012-D319,307
38,17,MTSAT-2 GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in ERA-Interim,visible_color_bar,1293,1314,367,21,13,2013.081531,2013.815308,0.733777,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,12805,13073,2013,30,2013-D030,2013,298,2013-D298,269
39,17,MTSAT-2 GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in ERA-Interim,visible_color_bar,1320,1344,367,24,13,2014.024958,2014.863561,0.838602,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,13150,13456,2014,10,2014-D010,2014,316,2014-D316,307
40,17,MTSAT-2 GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in ERA-Interim,visible_color_bar,1348,1377,367,29,13,2015.003328,2016.016639,1.013311,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,13507,13877,2015,2,2015-D002,2016,7,2016-D007,371
41,18,MTSAT-1R GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in ERA-Interim,visible_color_bar,1181,1182,386,1,11,2009.168053,2009.202995,0.034942,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,11377,11390,2009,62,2009-D062,2009,75,2009-D075,14
42,18,MTSAT-1R GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in ERA-Interim,visible_color_bar,1285,1290,386,5,13,2012.801997,2012.976705,0.174709,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,12703,12767,2012,293,2012-D293,2012,357,2012-D357,65
43,18,MTSAT-1R GEOS Rad.,Geostationary radiances,False,green,thick,green_thick,used in ERA5 but not in ERA-Interim,visible_color_bar,1313,1319,386,6,13,2013.780366,2013.990017,0.209651,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,13060,13137,2013,285,2013-D285,2013,362,2013-D362,78
44,18,MTSAT-1R GEOS Rad.,Geostationary radiances,False,red,thick,red_thick,assimilated in ERA-Interim but not in ERA5,visible_color_bar,1228,1231,386,3,13,2010.810316,2010.915141,0.104825,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,11976,12015,2010,296,2010-D296,2010,335,2010-D335,40
45,18,MTSAT-1R GEOS Rad.,Geostationary radiances,False,red,thick,red_thick,assimilated in ERA-Interim but not in ERA5,visible_color_bar,1257,1260,386,3,11,2011.823627,2011.928453,0.104825,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,12346,12384,2011,301,2011-D301,2011,339,2011-D339,39
46,18,MTSAT-1R GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1145,1223,386,78,13,2007.91015,2010.635607,2.725458,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,10918,11912,2007,333,2007-D333,2010,232,2010-D232,995
47,19,NOAA-20 CRIS Rad.,Hyperspectral infrared,True,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1453,1482,463,29,13,2018.672213,2019.685524,1.013311,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,14846,15216,2018,246,2018-D246,2019,251,2019-D251,371
48,20,METOP-B IASI Rad.,Hyperspectral infrared,True,green,thick,green_thick,used in ERA5 but not in ERA-Interim,visible_color_bar,1321,1378,482,57,13,2014.0599,2016.051581,1.991681,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,13162,13889,2014,22,2014-D022,2016,19,2016-D019,728
49,20,METOP-B IASI Rad.,Hyperspectral infrared,True,grey,thick,grey_thick,used in both ERA5 and ERA-Interim,visible_color_bar,1378,1482,482,104,13,2016.051581,2019.685524,3.633943,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,13889,15216,2016,19,2016-D019,2019,251,2019-D251,1328
