segment_id,row_index,row_label,section,anchor_mark_visible,color,thickness,code,legend_description,source_kind,pixel_x_start,pixel_x_end_exclusive,pixel_y_center,pixel_width,pixel_height_estimate,year_start,year_end,duration_years,note,base_year,end_year_exclusive,start_abs_day,end_abs_day,start_year,start_day_of_year,start_day_label,end_year,end_day_of_year,end_day_label,duration_days,normalized_sensor,normalized_satellite,match_key,era5_active_from_color,era_interim_active_from_color,era_source_right_edge_segment,original_end_abs_day,original_end_day_label,original_end_date_365,era_interim_clipped_start_day_label,era_interim_clipped_end_day_label,extension_interval_count
44,18,MTSAT-1R GEOS Rad.,Geostationary radiances,False,red,thick,red_thick,assimilated in the reference system but not in ERA5,visible_color_bar,1228,1231,386,3,13,2010.810316,2010.915141,0.104825,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,11976,12015,2010,296,2010-D296,2010,335,2010-D335,40,IMAGER,MTSAT-1R,IMAGER|MTSAT-1R,False,True,False,12015,2010-D335,2010-12-01,2010-D296,2010-D335,0
45,18,MTSAT-1R GEOS Rad.,Geostationary radiances,False,red,thick,red_thick,assimilated in the reference system but not in ERA5,visible_color_bar,1257,1260,386,3,11,2011.823627,2011.928453,0.104825,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,12346,12384,2011,301,2011-D301,2011,339,2011-D339,39,IMAGER,MTSAT-1R,IMAGER|MTSAT-1R,False,True,False,12384,2011-D339,2011-12-05,2011-D301,2011-D339,0
46,18,MTSAT-1R GEOS Rad.,Geostationary radiances,False,grey,thick,grey_thick,used in both ERA5 and the reference system,visible_color_bar,1145,1223,386,78,13,2007.91015,2010.635607,2.725458,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,10918,11912,2007,333,2007-D333,2010,232,2010-D232,995,IMAGER,MTSAT-1R,IMAGER|MTSAT-1R,True,True,False,11912,2010-D232,2010-08-20,2007-D333,2010-D232,0
47,19,NOAA-20 CRIS Rad.,Hyperspectral infrared,True,grey,thick,grey_thick,used in both ERA5 and the reference system,visible_color_bar,1453,1482,463,29,13,2018.672213,2019.685524,1.013311,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,14846,15216,2018,246,2018-D246,2019,251,2019-D251,371,CRIS,NOAA 20,CRIS|NOAA 20,True,True,True,15216,2019-D251,2019-09-08,2018-D246,2019-D251,1
48,20,METOP-B IASI Rad.,Hyperspectral infrared,True,green,thick,green_thick,used in ERA5 but not in the reference system,visible_color_bar,1321,1378,482,57,13,2014.0599,2016.051581,1.991681,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,13162,13889,2014,22,2014-D022,2016,19,2016-D019,728,IASI,METOP-B,IASI|METOP-B,True,False,False,13889,2016-D019,2016-01-19,,,0
49,20,METOP-B IASI Rad.,Hyperspectral infrared,True,grey,thick,grey_thick,used in both ERA5 and the reference system,visible_color_bar,1378,1482,482,104,13,2016.051581,2019.685524,3.633943,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,13889,15216,2016,19,2016-D019,2019,251,2019-D251,1328,IASI,METOP-B,IASI|METOP-B,True,True,True,15216,2019-D251,2019-09-08,2016-D019,2019-D251,1
50,21,NPP CRIS Rad.,Hyperspectral infrared,True,green,thick,green_thick,used in ERA5 but not in the reference system,visible_color_bar,1349,1377,501,28,13,2015.03827,2016.016639,0.978369,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,13519,13877,2015,14,2015-D014,2016,7,2016-D007,359,CRIS,NPP,CRIS|NPP,True,False,False,13877,2016-D007,2016-01-07,,,0
51,21,NPP CRIS Rad.,Hyperspectral infrared,True,grey,thick,grey_thick,used in both ERA5 and the reference system,visible_color_bar,1378,1476,501,98,13,2016.051581,2019.475874,3.424293,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,13889,15139,2016,19,2016-D019,2019,174,2019-D174,1251,CRIS,NPP,CRIS|NPP,True,True,False,15139,2019-D174,2019-06-23,2016-D019,2019-D174,0
52,22,AQUA AIRS Rad.,Hyperspectral infrared,True,green,thick,green_thick,used in ERA5 but not in the reference system,visible_color_bar,999,1013,521,14,13,2002.808652,2003.297837,0.489185,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9056,9234,2002,296,2002-D296,2003,109,2003-D109,179,AIRS,AQUA,AIRS|AQUA,True,False,False,9234,2003-D109,2003-04-19,,,0
53,22,AQUA AIRS Rad.,Hyperspectral infrared,True,red,thick,red_thick,assimilated in the reference system but not in ERA5,visible_color_bar,1022,1024,521,2,12,2003.612313,2003.682196,0.069884,visible raster pixels only; hidden/covered bar portions cannot be reconstructed,1978,2020,9349,9375,2003,224,2003-D224,2003,250,2003-D250,27,AIRS,AQUA,AIRS|AQUA,False,True,False,9375,2003-D250,2003-09-07,2003-D224,2003-D250,0
